,Unnamed: 0,Name,Acres Burned,Latitude,Longitude,Fire Started,Fire Extinguished
1,1,River Fire,406.0,36.602575,-118.01651000000001,2013-02-24,2013-02-28
4,4,Fawnskin Fire,30.0,34.288877,-116.94131100000001,2013-04-20,2013-04-22
5,5,Gold Fire,274.0,37.116295,-119.63500400000001,2013-04-30,2013-05-01
6,6,Panther Fire,6965.0,40.190062,-121.595555,2013-05-01,2013-05-09
7,7,Silverado Fire,75.0,38.441792,-122.350844,2013-04-30,2013-05-01
8,8,Yellow Fire,125.0,38.638828000000004,-122.655616,2013-05-01,2013-05-03
10,10,Summit Fire,3166.0,34.288877,-116.94131100000001,2013-05-01,2013-05-04
11,11,Tres Pinos Fire,354.0,37.160346000000004,-120.937494,2013-05-03,2013-05-03
13,13,306 Fire,217.0,39.514139,-122.56086200000001,2013-05-01,2013-05-05
15,15,Lytle Fire,75.0,34.1834,-117.4408,2013-05-13,2013-05-15
16,16,Gorgonio Fire,510.0,33.894055,-116.855019,2013-05-04,2013-05-05
17,17,Grand Fire,4346.0,34.7861,-118.9411,2013-05-15,2013-05-21
18,18,54 Fire,40.0,33.655638,-116.161201,2013-05-16,2013-05-17
19,19,Lake Fire,712.0,34.49149,-118.61004399999999,2013-05-17,2013-05-18
20,20,Lilly 2 Fire,91.0,37.1927,-119.7917,2013-05-19,2013-05-20
21,21,Cottontail Fire,35.0,35.49864,-120.91375,2013-05-20,2013-05-20
22,22,Cherry Fire,25.0,33.96201,-116.90721299999998,2013-05-20,2013-05-20
23,23,Water Fire,90.0,33.9582,-116.6534,2013-05-21,2013-05-21
25,25,Shelton Fire,303.0,38.049929999999996,-120.90325,2013-05-30,2013-05-30
26,26,Border Fire,100.0,32.564465000000006,-116.900368,2013-05-22,2013-05-23
27,27,San Felipe Fire,2781.0,33.121109999999994,-116.52578999999999,2013-05-23,2013-05-26
28,28,Homestead Fire,50.0,35.5123,-120.6368,2013-05-25,2013-05-25
29,29,Smiley Fire,124.0,33.963591,-117.18793400000001,2013-05-25,2013-05-25
30,30,General Fire,1271.0,33.044579999999996,-116.5209,2013-05-26,2013-05-31
31,31,White Fire,1984.0,34.55048,-119.82428999999999,2013-05-27,2013-05-30
32,32,Magic Fire,149.0,34.419284000000005,-118.58688000000001,2013-05-28,2013-05-29
33,33,Olive Fire,170.0,34.611824,-120.074655,2013-05-28,2013-05-29
34,34,Branch Fire,500.0,35.15832,-120.05131000000002,2013-06-01,2013-06-03
35,35,Murphy Fire,100.0,37.91529,-120.33313000000001,2013-06-02,2013-06-02
36,36,Lone Fire,298.0,39.434183000000004,-121.57680400000001,2013-06-03,2013-06-03
37,37,Hathaway Fire,0.0,33.99647,-116.84137,2013-06-09,2013-06-09
38,38,Sonoma-Lake-Napa Unit Lightning Fires,28.0,38.4229,-122.0437,2013-06-10,2013-06-14
39,39,152 Fire,124.0,37.03776,-121.00693899999999,2013-06-04,2013-06-05
40,40,Lake Fire,30.0,38.992329999999995,-122.703193,2013-06-05,2013-06-06
41,41,Powerhouse Fire,30274.0,34.585595,-118.423176,2013-05-30,2013-06-08
42,42,Vasco Fire,240.0,37.775057000000004,-121.73721299999998,2013-06-08,2013-06-08
43,43,Viper Fire,42.0,33.969359999999995,-117.1265,2013-06-08,2013-06-08
44,44,Northern California Lightning Activity,60.0,39.9845,-121.5747,2013-06-10,2013-06-14
45,45,Roadrunner Fire,96.0,38.27783,-120.966016,2013-06-12,2013-06-13
46,46,Revis Fire,75.0,37.169379,-119.75636000000002,2013-06-12,2013-06-14
48,48,Clinton Fire,108.0,36.772425,-119.62838899999998,2013-06-13,2013-06-13
49,49,Carstens Fire,1708.0,37.58202,-119.91071000000001,2013-06-16,2013-06-26
50,50,PFE Fire,237.0,38.729296999999995,-121.38086200000001,2013-06-13,2013-06-13
51,51,Michelle Fire,35.0,36.763366999999995,-119.55824399999999,2013-06-13,2013-06-13
52,52,Palmyrita Fire,40.0,34.001745,-117.302057,2013-06-14,2013-06-15
53,53,Rolling Fire,482.0,37.015575,-119.78106000000001,2013-06-16,2013-06-18
54,54,California Fire,124.0,38.08744,-122.13802,2013-06-18,2013-06-18
55,55,Sierra Fire,46.0,37.03087,-119.463757,2013-06-17,2013-06-19
56,56,George Fire,150.0,36.7218,-119.2248,2013-06-25,2013-06-25
57,57,Mount Fire,25.0,38.980579999999996,-122.81796000000001,2013-06-20,2013-06-20
58,58,Mills Fire,534.0,34.071556,-117.048397,2013-06-28,2013-07-01
59,59,Concord Fire,274.0,39.90465,-121.74367,2013-07-01,2013-07-01
60,60,Freeman Fire,105.0,36.1531,-120.8973,2013-06-29,2013-06-29
61,61,Kirker Fire,492.0,37.96866,-121.91453,2013-07-01,2013-07-01
62,62,Northern Region July Lightning,754.0,39.9845,-121.5747,2013-07-02,2013-07-04
63,63,Fox Fire (formally 3-7 Fire),502.0,41.2415,-121.035,2013-07-03,2013-07-05
64,64,Vina Fire,200.0,40.012398,-122.079871,2013-07-04,2013-07-04
65,65,Grant Fire,50.0,37.7393,-121.5869,2013-07-04,2013-07-04
66,66,Fallon Fire,38.0,37.74241,-121.86216,2013-07-06,2013-07-06
67,67,Chariot Fire,7055.0,32.95435,-116.47381000000001,2013-07-06,2013-07-15
68,68,Adelaida Fire,85.0,35.62743,-120.83417,2013-07-07,2013-07-07
69,69,McGanney Fire,73.0,39.205999999999996,-121.31634,2013-07-08,2013-07-08
70,70,Fiddler Fire,43.0,40.373000000000005,-122.7338,2013-07-09,2013-07-09
71,71,Kyburz Fire,572.0,38.774,-120.29799999999999,2013-07-08,2013-07-11
72,72,Uvas Fire,50.0,37.1438,-121.7804,2013-07-12,2013-07-12
73,73,Diablo Fire,150.0,37.436,-121.1955,2013-07-12,2013-07-13
74,74,Mountain Fire,27531.0,33.7095,-116.72885,2013-07-15,2013-07-30
75,75,Orleans Complex,0.0,41.333,-123.376,2013-08-03,2013-08-03
76,76,Silverwood Fire,75.0,34.316,-117.352,2013-07-25,2013-07-26
77,77,Flume Fire,25.0,32.612773,-116.70733500000001,2013-07-28,2013-07-28
78,78,Aspen Fire,22992.0,37.279,-119.318,2013-07-22,2013-09-24
80,80,Salmon River Complex,14754.0,41.32,-123.176,2013-07-31,2013-08-31
81,81,Branch Fire,92.0,39.6612,-121.50353999999999,2013-08-01,2013-08-04
82,82,Redlands Fire,150.0,33.990128000000006,-117.164997,2013-07-16,2013-07-17
83,83,Relay Fire,60.0,33.910270000000004,-116.99895,2013-08-04,2013-08-04
85,85,Water Fire,612.0,34.90327,-118.93388,2013-07-23,2013-07-25
86,86,Pratt Fire,45.0,38.980846,-123.06767099999999,2013-07-23,2013-07-23
87,87,Rancho Fire,712.0,34.882,-118.9194,2013-07-19,2013-07-22
88,88,Paskenta Fire,195.0,39.961309,-122.33087900000001,2013-07-19,2013-07-19
89,89,Lakeville Fire,158.0,38.17693,-122.51253,2013-07-26,2013-07-26
90,90,50 Fire,163.0,38.63987,-121.08438000000001,2013-07-19,2013-07-19
91,91,Heacock Fire,40.0,33.9634,-117.2508,2013-07-19,2013-07-20
92,92,Gilman Fire,15.0,33.94528,-117.09306000000001,2013-07-19,2013-07-19
93,93,Chuckwagon Fire,31.0,37.965364,-120.69636200000001,2013-07-22,2013-07-23
95,95,Power Fire,1070.0,38.25108,-120.02778,2013-08-05,2013-08-14
96,96,Falls Fire,1383.0,33.62236,-117.40288000000001,2013-08-05,2013-08-09
97,97,Tram Fire,60.0,38.838,-116.61,2013-08-06,2013-08-08
98,98,Indian Fire,38.0,39.1591,-122.5906,2013-08-07,2013-08-07
99,99,Silver Fire,20292.0,33.86157,-116.90427,2013-08-07,2013-08-12
100,100,Corral Complex,12503.0,41.035,-123.488,2013-08-10,2013-08-12
101,101,Cottonwood Fire,50.0,41.923322999999996,-122.57839299999999,2013-08-15,2013-08-15
102,102,Union Fire,116.0,38.682378,-120.839075,2013-08-16,2013-08-16
103,103,Sharp Fire,243.0,34.35,-117.62,2013-08-08,2013-08-13
104,104,Cloverdale Fire,27.0,40.473356,-122.48258999999999,2013-08-14,2013-08-14
105,105,Swedes Fire,2462.0,39.446267999999996,-121.38236,2013-08-16,2013-08-22
106,106,American Fire,27440.0,39.12,-120.65,2013-08-10,2013-08-30
108,108,Coyote Fire,97.0,40.88886,-120.95812600000001,2013-08-09,2013-08-12
109,109,Pierce Fire,40.0,33.570291,-116.10815,2013-08-16,2013-08-16
110,110,Double Fire,70.0,39.013682,-122.49189399999999,2013-08-16,2013-08-18
111,111,Bridges Fire,46.0,38.06231,-120.45233,2013-08-17,2013-08-19
112,112,Cleghorn Fire,110.0,34.287,-117.45100000000001,2013-08-17,2013-08-18
113,113,Clover Fire,8073.0,40.498332,-122.535496,2013-09-09,2013-09-15
114,114,Plumas Lightning Complex (Hough),513.0,40.00842,-120.76466599999999,2013-08-18,2013-08-25
115,115,Shirley Fire,794.0,35.707,-118.588,2013-08-18,2013-08-24
116,116,Burney Lightning Series (Warner Fire),196.0,40.5445,-121.3754,2013-08-19,2013-08-23
117,117,Sierra Fire,200.0,34.2,-117.417,2013-09-24,2013-09-30
118,118,Deer Fire,11429.0,40.042629999999996,-121.85396999999999,2013-08-23,2013-08-29
119,119,Gobblers Fire,413.0,34.302,-117.598,2013-08-20,2013-08-20
120,120,Fish Fire,2060.0,36.208,-118.444,2013-08-24,2013-09-24
121,121,Empire Fire,38.0,38.89555,-120.84716,2013-08-24,2013-08-24
122,122,Little Fire,97.0,33.641999999999996,-116.706,2013-08-24,2013-08-30
123,123,Chestnut Fire,41.0,37.667295,-122.42728500000001,2013-09-07,2013-09-07
124,124,Morgan Fire,3111.0,37.90757,-121.88258200000001,2013-09-08,2013-09-14
125,125,Angora Fire,134.0,36.258,-118.459,2013-09-08,2013-09-24
126,126,Liveoak Fire,73.0,34.003151,-117.106075,2013-09-11,2013-09-12
127,127,Madre Fire,268.0,34.149,-117.90799999999999,2013-09-23,2013-09-28
128,128,Davis Creek Complex,97.0,41.73325,-120.375,2013-09-05,2013-09-24
129,129,Tyler Fire,52.0,39.333401,-121.107022,2013-08-31,2013-08-31
130,130,Centerville Fire,80.0,39.731878,-121.71393799999998,2013-08-31,2013-09-01
131,131,Rail Fire,68.0,41.568999999999996,-120.959,2013-09-07,2013-09-05
132,132,Rim Fire,257314.0,37.857,-120.086,2013-08-17,2013-09-06
133,133,Lyon Fire,263.0,32.710918,-116.746023,2013-09-09,2013-09-12
135,135,Lakeshore Fire,30.0,38.9777,-122.68299999999999,2013-09-15,2013-09-15
136,136,Creek Fire,94.0,35.4393,-120.8358,2013-09-24,2013-09-24
138,138,Highland Fire,98.0,38.9252,-122.96600000000001,2013-09-28,2013-09-29
139,139,Putah Fire,376.0,38.628,-122.289,2013-10-03,2013-10-04
141,141,Crane Fire,159.0,38.34599,-122.6503,2013-10-04,2013-10-05
142,142,DeLuz Fire,2236.0,33.341,-117.3092,2013-10-05,2013-10-09
143,143,Summit Fire,305.0,39.439,-121.49700000000001,2013-10-04,2013-10-05
144,144,Baker Fire,40.0,33.7655,-117.6649,2013-10-06,2013-10-09
145,145,Capay Fire,163.0,38.67479,-122.08725,2013-11-04,2013-11-04
146,146,Dersch Fire,33.0,40.483662,-122.140914,2013-11-07,2013-11-07
147,147,Toro Fire,51.0,35.457978000000004,-120.75155500000001,2013-11-08,2013-11-09
148,148,Cantwell Fire,120.0,38.882214000000005,-122.567525,2013-11-08,2013-11-10
149,149,Silverado Fire,190.0,38.382,-122.311,2013-11-21,2013-11-23
150,150,Wheeler Fire,64.0,34.384,-119.13248999999999,2013-11-14,2013-11-15
151,151,Retek Fire,82.0,39.0442,-123.1478,2013-11-22,2013-11-22
152,152,McCabe Fire,3505.0,38.8167,-122.8498,2013-11-22,2013-11-27
153,153,Bruner Fire,50.0,39.0448,-122.7656,2013-11-23,2013-11-24
154,154,Dam Fire,23.0,38.9289,-122.5818,2013-11-23,2013-11-24
158,158,Grant Fire,40.0,37.342186,-121.717706,2013-12-31,2013-12-31
