,Latitude,Longitude,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
74,40.1058823,-124.0720419,0,73,77,3,5,6,8/18/15
5,41.1513,-123.8292,0,82,65,5,8,22,6/10/15
47,41.295667,-123.784067,0,67,78,3,5,16,7/24/15
51,40.1093,-123.774,0,52,90,6,11,0,7/28/15
62,39.43301,-123.36316,0.7,55,91,4,6,2,7/30/15
24,39.0263,-123.303,0,66,86,3,5,4,7/4/15
22,39.7806004,-123.248214,0.2,62,82,4,6,20,6/28/15
6,40.924,-123.168,0.3,72,76,3,4,9,6/10/15
79,40.724898,-122.96174,0,60,82,3,4,7,8/25/15
77,38.925764,-122.879272,0,57,90,3,5,1,8/22/15
10,40.0133,-122.552,0,28,99,4,7,1,6/17/15
76,38.831478,-122.53428,0,51,89,5,9,4,8/24/15
88,40.47512,-122.52541,0.8,27,100,3,4,12,9/11/15
32,41.8048,-122.5029,0.6,69,76,3,5,17,7/13/15
72,38.8142503,-122.4867319,0,46,90,5,9,20,8/9/15
54,38.8863538,-122.4762475,0,23,99,5,8,0,7/29/15
56,40.415108,-122.439939,0,15,104,4,7,0,7/29/15
27,40.5953,-122.4397,0.9,48,89,5,7,9,7/7/15
68,40.3929,-122.40546,0,41,94,4,6,3,8/3/15
23,39.8448,-122.3638,0,43,102,4,6,4,7/4/15
8,38.5287,-122.3415,0,59,86,4,5,6,6/16/15
60,40.49865,-122.20109,0,17,108,3,6,5,7/30/15
55,40.509552,-122.199227,0,16,104,4,7,0,7/29/15
21,38.519132,-122.181878,0,51,87,6,9,38,6/27/15
26,38.1029,-122.1578,0.2,75,73,8,11,44,7/10/15
39,38.4994,-122.1145,0,58,85,9,12,4,7/22/15
25,38.4113,-122.0789,0,57,86,11,15,10,7/6/15
65,40.67868,-121.93244,4.8,70,77,2,4,19,8/2/15
89,39.8707,-121.8938,0,45,87,6,10,3,10/2/15
38,41.999341,-121.891226,0,58,81,6,8,6,7/21/15
0,41.485,-121.851,0,34,59,4,8,15,2/24/15
17,37.974123,-121.833751,0,51,87,8,12,0,6/24/15
71,40.3506868,-121.7786799,0.2,37,91,4,6,4,8/8/15
97,36.5696373,-121.7556029,0,73,71,6,9,45,9/19/15
59,37.81629,-121.68113,0.7,61,92,6,9,9,7/30/15
96,36.3699644,-121.589554,0,59,81,4,7,7,9/19/15
36,36.8727,-121.5681,0.5,61,90,5,6,12,7/20/15
64,41.399,-121.392,0,26,94,5,8,5,7/30/15
53,39.43963,-121.38794,0,16,104,5,8,0,7/29/15
75,37.3845,-121.3732,0,52,93,5,7,0,8/19/15
87,39.5218,-121.3363,0,26,101,4,7,10,9/11/15
93,36.70854,-121.32734,0,53,92,2,3,0,10/12/15
13,39.2688,-121.26471,0,36,92,7,11,1,6/18/15
50,37.24523,-121.20324,0,26,99,5,8,0,7/28/15
81,41.12362,-121.194256,0.1,54,74,9,14,21,8/29/15
95,39.081,-121.194,0,26,84,7,12,0,9/22/15
67,39.33303,-121.18735,0,42,84,5,8,1,8/3/15
42,41.29226,-121.172117,0,29,78,6,9,1,7/23/15
40,38.9361,-121.1548,0,47,86,8,12,2,7/22/15
9,38.260777,-121.135426,0,50,92,5,8,2,6/16/15
43,40.856422,-121.101623,0,43,72,4,6,2,7/23/15
4,37.08312,-121.06963,0,45,76,9,14,29,5/11/15
16,40.875667,-121.033667,0,31,80,7,10,5,6/19/15
29,35.7183,-121.0157,0.1,73,74,6,7,30,7/10/15
46,39.192088,-120.882313,0,26,83,5,8,0,7/25/15
86,38.32974,-120.70418,0,18,100,5,8,0,9/9/15
2,40.05083333,-120.7016667,1.8,72,48,7,11,54,4/13/15
