,Unnamed: 0,Name,Counties,Acres Burned,Latitude,Longitude,Fire Started,Fire Extinguished
121,121,Horse Fire,Humboldt,146,40.1058823,-124.0720419,8/18/15,8/29/15
16,16,Bald Fire,Humboldt,20,41.1513,-123.8292,6/10/15,6/11/15
79,79,Queen Fire,Humboldt,158,41.295667,-123.784067,7/24/15,8/1/15
83,83,Buck Fire,Humboldt,16,40.1093,-123.774,7/28/15,7/31/15
94,94,Mendocino Lightning Fires,Mendocino,50,39.43301,-123.36316,7/30/15,8/3/15
51,51,Soda Fire,Mendocino,23,39.0263,-123.303,7/4/15,7/5/15
40,40,Covelo Fire,Mendocino,35,39.7806004,-123.248214,6/28/15,6/29/15
17,17,Saddle Fire ,Trinity,"1,542",40.924,-123.168,6/10/15,6/29/15
128,128,Democrat Fire,Trinity,128,40.724898,-122.96174,8/25/15,8/29/15
126,126,Peterson Fire,Lake,215,38.925764,-122.879272,8/22/15,8/27/15
21,21,Fork Fire,Tehama,55,40.0133,-122.552,6/17/15,6/17/15
123,123,Grade Fire,Lake,22,38.831478,-122.53428,8/24/15,8/25/15
142,142,Walker Fire,Shasta,109,40.47512,-122.52541,9/11/15,9/13/15
60,60,Cooley Fire,Siskiyou,181,41.8048,-122.5029,7/13/15,7/14/15
114,114,Jerusalem Fire,"Lake, Napa","25,118",38.8142503,-122.4867319,8/9/15,8/25/15
86,86,Rocky Fire,Lake,"69,438",38.8863538,-122.4762475,7/29/15,8/14/15
88,88,China Fire,Shasta,212,40.415108,-122.439939,7/29/15,8/1/15
54,54,Keswick Fire,Shasta,18,40.5953,-122.4397,7/7/15,7/8/15
107,107,Point Fire,Shasta,59,40.3929,-122.40546,8/3/15,8/4/15
50,50,Black Fire,Tehama,170,39.8448,-122.3638,7/4/15,7/4/15
19,19,Chiles Fire,Napa,38,38.5287,-122.3415,6/16/15,6/17/15
92,92,Sprig Fire,Shasta,90,40.49865,-122.20109,7/30/15,7/31/15
87,87,Mallard Fire,Shasta,75,40.509552,-122.199227,7/29/15,7/31/15
39,39,Pleasure Fire,Napa,19,38.519132,-122.181878,6/27/15,6/28/15
53,53,Ascot Fire,Solano,40,38.1029,-122.1578,7/10/15,7/10/15
70,70,Wragg Fire,,"8,051",38.4994,-122.1145,7/22/15,8/5/15
52,52,Sky Fire,Solano,150,38.4113,-122.0789,7/6/15,7/8/15
102,102,Fern Fire,Shasta,75,40.67868,-121.93244,8/2/15,8/4/15
145,145,Munjar Fire,Butte,104,39.8707,-121.8938,10/2/15,10/2/15
69,69,Dorris Fire,Siskiyou,24,41.999341,-121.891226,7/21/15,7/22/15
0,0,Stephens Fire,Siskiyou,200,41.485,-121.851,2/24/15,3/2/15
32,32,Loma Fire,,533,37.974123,-121.833751,6/24/15,6/25/15
113,113,36 Fire,Tehama,110,40.3506868,-121.7786799,8/8/15,8/9/15
156,156,Laureles Fire,Monterey,95,36.5696373,-121.7556029,9/19/15,9/21/15
91,91,Vasco Fire,Contra Costa,195,37.81629,-121.68113,7/30/15,7/30/15
155,155,Tassajara Fire,Monterey,"1,086",36.3699644,-121.589554,9/19/15,9/27/15
67,67,Betabel Fire,San Benito,25,36.8727,-121.5681,7/20/15,7/20/15
100,100,Frog Fire,Modoc,"4,863",41.399,-121.392,7/30/15,7/31/15
85,85,Swedes Fire,Butte,400,39.43963,-121.38794,7/29/15,8/3/15
122,122,Tesla Fire,Alameda,"2,700",37.3845,-121.3732,8/19/15,8/22/15
141,141,Lumpkin Fire,Butte,"1,042",39.5218,-121.3363,9/11/15,9/17/15
152,152,Cienega Fire,San Benito,670,36.70854,-121.32734,10/12/15,10/16/15
26,26,Cook Fire,Yuba,158,39.2688,-121.26471,6/18/15,6/22/15
82,82,Sullivan Fire,Stanislaus,40,37.24523,-121.20324,7/28/15,7/28/15
131,131,Kramer Fire ,Lassen,30,41.12362,-121.194256,8/29/15,8/30/15
154,154,McCourtney Fire,Nevada,30,39.081,-121.194,9/22/15,9/21/15
105,105,Francis Fire,Yuba,30,39.33303,-121.18735,8/3/15,8/5/15
73,73,3-11 Fire,Modoc,116,41.29226,-121.172117,7/23/15,7/26/15
71,71,Baxter Fire,Placer,26,38.9361,-121.1548,7/22/15,7/22/15
20,20,North Fire,Amador,60,38.260777,-121.135426,6/16/15,6/17/15
74,74,3-12 Fire,Modoc,77,40.856422,-121.101623,7/23/15,7/25/15
6,6,Forebay Fire,Merced,275,37.08312,-121.06963,5/11/15,5/11/15
31,31,Dixie Fire,Lassen,60,40.875667,-121.033667,6/19/15,7/1/19
56,56,Deer Fire,San Luis Obispo,95,35.7183,-121.0157,7/10/15,7/15/15
130,130,Olive Fire,Butte,72,26.42,-121,9/2/15,9/3/15
78,78,Lowell Fire,Nevada,"2,304",39.192088,-120.882313,7/25/15,8/12/15
138,138,Butte Fire,,"70,868",38.32974,-120.70418,9/9/15,10/15/15
4,4,Ward Fire,Plumas,137,40.05083333,-120.7016667,4/13/15,4/18/15
119,119,Cuesta Fire,San Luis Obispo,"2,446",35.3477,-120.6269,8/16/15,8/28/15
90,90,Tulloch Fire,Tuolumne,112,37.83618,-120.61691,8/15/15,8/16/15
81,81,Mark Fire,Calaveras,114,38.052,-120.5577,8/13/15,8/18/15
136,136,Center Fire,Lassen,40,40.400196,-120.553075,9/9/15,9/10/15
137,137,Creek Fire,Fresno,170,40.400196,-120.553075,9/9/15,9/11/15
72,72,Kyburz Fire,El Dorado,75,38.776,-120.404,7/23/15,7/29/15
132,132,Oak Fire,Tuolumne,108,38.04684,-120.30188,9/8/15,9/15/15
103,103,White Fire,Santa Barbara,52,34.9522,-120.2903,8/1/15,12/31/69
18,18,Pass Fire,Kern,67,35.77937,-120.19482,6/15/15,6/15/15
89,89,Big Creek Fire,Tuolumne,204,37.823,-120.15644,7/29/15,8/4/15
111,111,Dodge Fire,Lassen,"10,570",40.938,-120.105,8/3/15,8/4/15
36,36,Washington Fire,Alpine,0,38.598056,-119.751944,6/19/15,6/22/15
30,30,Red Fire,Madera,135,37.072561,-119.6958,6/21/15,6/23/15
153,153,Gibraltar Fire,Santa Barbara,21,34.4828,-119.63216,10/29/15,11/9/15
29,29,Corrine Fire,Madera,920,37.165767,-119.523943,6/18/15,6/25/15
80,80,Willow Fire,Madera,"5,702",37.279722,-119.50014,7/25/15,8/13/15
147,147,Solimar Fire,,"1,388",34.31953,-119.34512,12/25/15,12/29/15
146,146,Rough Fire ,Fresno,"151,623",36.874,-118.905,7/31/15,11/9/15
93,93,Advance Fire,Tulare,86,36.49845,-118.9009,7/30/15,8/5/15
148,148,Potrero Fire,Ventura,50,34.15,-118.879444,11/7/15,11/7/15
68,68,Triple Fire,Tulare,430,36.085212,-118.824235,7/21/15,7/26/15
84,84,Cabin Fire,Tulare,"6,980",36.24,-118.54,7/19/15,9/5/15
37,37,Calgrove Fire ,Los Angeles,415,34.361007,-118.535793,6/24/15,6/26/15
59,59,241 Fire,Orange,214,33.7626,-117.7274,7/13/15,7/15/15
65,65,Pines Fire ,Los Angeles,200,34.367,-117.683,7/17/15,8/4/15
5,5,Highway Fire,Riverside,"1,049",33.884313,-117.642759,4/18/15,4/24/15
63,63,North Fire,San Bernardino,"4,250",34.339,-117.478,7/17/15,7/21/15
57,57,Spider Fire,Riverside,21,33.986204,-117.43942,7/12/15,7/12/15
