,Unnamed: 0,Name,Acres Burned,Latitude,Longitude,Fire Started,Fire Extinguished
0,0,Aqueduct Fire,30.0,35.92436,-119.94083,2018-04-12,2019-01-03
2,2,Haycamp Fire,50.0,35.96689,-121.28185,2018-02-07,2019-01-03
3,3,Pleasant Fire,2070.0,37.40208,-118.50235,2018-02-18,2019-01-03
5,5,Grant Fire,12.0,37.73835,-121.6039,2018-05-14,2019-01-04
7,7,Patterson Fire,1261.0,33.62924,-117.05991999999999,2018-05-17,2019-01-04
8,8,Tyler Fire,15.0,33.711263,-116.16405800000001,2018-04-15,2019-01-03
9,9,Santa Cruz Fire,258.0,34.0232,-119.76576000000001,2018-03-27,2019-01-03
10,10,Rock Fire,11.0,40.4635,-121.77418999999999,2018-03-27,2019-01-03
11,11,Meadow Fire,21.0,33.86439,-117.48143999999999,2018-04-09,2019-01-03
12,12,Volcan Fire,12.0,33.12213,-116.58758999999999,2018-05-10,2019-01-04
13,13,Shastina Fire,127.0,41.65935,-122.48556,2018-05-09,2019-01-04
14,14,Lago Fire,18.0,33.887440000000005,-117.16232,2018-04-22,2019-01-03
15,15,French Fire,20.0,39.89075,-120.18498999999998,2018-04-26,2019-01-04
16,16,Happy Fire,60.0,34.74245,-120.18236,2018-05-17,2019-01-04
17,17,Jacques Fire,18.0,33.40178,-117.27467,2018-05-09,2019-01-04
18,18,Alpha Fire,300.0,33.389425,-117.50240500000001,2018-05-04,2019-01-04
19,19,Nees Fire,1756.0,36.85156,-120.77206000000001,2018-05-02,2019-01-04
20,20,Tornado Fire,70.0,33.504964,-117.148204,2018-05-04,2019-01-04
21,21,Woodchuck Fire,15.0,33.467999,-117.00382900000001,2018-05-04,2019-01-04
22,22,Moffat Fire,1265.0,36.71537,-118.08448999999999,2018-04-19,2019-01-03
23,23,Grape Fire,0.0,40.70258,-123.55011999999999,2018-04-24,2019-01-03
24,24,Main Fire,73.0,33.67815,-117.32281,2018-04-28,2019-01-04
25,25,White Fire,26.0,35.826333,-118.9821,2018-05-18,2019-01-04
26,26,Jelly Fire,103.0,40.31759,-122.21032,2018-05-18,2019-01-04
27,27,Ager Fire,27.0,41.791859,-122.513883,2018-05-19,2019-01-04
28,28,Plaza Fire,88.0,37.056944,-121.01638,2018-05-20,2019-01-04
29,29,Bellagio Fire,12.0,38.16303,-122.23058999999999,2018-05-21,2019-01-04
30,30,Agua Fire,59.0,33.35505,-117.03133999999999,2018-05-22,2019-01-04
31,31,Experimental Fire,56.0,37.0979,-119.75307,2018-05-23,2019-01-04
32,32,Water Fire,100.0,35.56922,-120.12441000000001,2018-05-24,2019-01-04
33,33,Cobble Fire,108.0,36.75581,-119.42172,2018-05-26,2019-01-04
34,34,Keeler Fire,16.0,37.21803,-121.76828,2018-05-27,2019-01-04
35,35,70th Fire,10.0,33.53924,-116.10231,2018-05-28,2019-01-04
36,36,Chrome Fire,75.0,39.65578,-122.58666000000001,2018-05-28,2019-01-04
37,37,Stuhr Fire,63.0,37.32744,-121.10903,2018-05-29,2019-01-04
38,38,Vineyard Fire,25.0,35.71859,-120.64028,2018-05-29,2019-01-04
39,39,Grant Fire,484.0,37.75375,-121.57918000000001,2018-05-30,2019-01-04
40,40,Madison FIre,14.0,38.64953,-122.01762,2018-06-01,2019-01-04
41,41,Open Fire,127.0,39.46543,-122.65581999999999,2018-06-01,2019-01-04
42,42,Plymire Fire,23.0,40.201826000000004,-122.29388,2018-06-01,2019-01-04
43,43,Glen Fire,23.0,37.99113,-121.86473000000001,2018-06-02,2019-01-04
44,44,Aliso Fire,175.0,33.551320000000004,-117.72044,2018-06-02,2019-01-04
45,45,Jardin Fire,10.0,33.450140000000005,-117.22215,2018-06-02,2019-01-04
46,46,Coldwell Fire,13.0,36.10499,-120.55323999999999,2018-06-02,2019-01-04
47,47,Black Fire,10.0,39.80827,-122.3307,2018-06-03,2019-01-04
48,48,Grande Fire,11.0,33.47413,-117.31468000000001,2018-06-03,2019-01-04
49,49,Ethanac Fire,17.0,33.742,-117.28188999999999,2018-06-03,2019-01-04
50,50,Fairview Fire,35.0,36.83036,-121.36446000000001,2018-06-03,2019-01-04
51,51,Resort Fire,12.0,35.75737,-120.91793,2018-06-03,2019-01-04
52,52,Martin Fire,37.0,41.58233,-122.33769,2018-06-03,2019-01-04
53,53,Adobe Fire,38.0,32.78031,-117.06782,2018-06-03,2019-01-04
54,54,Green Fire,10.0,32.75072,-116.92403999999999,2018-06-03,2019-01-04
55,55,Stone Fire,1352.0,34.5486,-118.31138,2018-06-04,2019-01-04
56,56,Meamber Fire,12.0,41.64805,-122.98442,2018-06-04,2019-01-04
57,57,Airline Fire,1314.0,36.40755,-120.99322,2018-06-04,2019-01-04
58,58,Eastern Fire,513.0,36.378333000000005,-120.90116699999999,2018-06-04,2019-01-04
59,59,ONeals Fire,300.0,37.10181,-119.623981,2018-06-04,2019-01-04
60,60,Panoche Fire,64.0,36.64832,-121.03253000000001,2018-06-04,2019-01-04
61,61,Pallet Fire,10.0,38.245151,-122.44408,2018-06-05,2019-01-04
62,62,Vista Fire,12.0,33.40769,-117.22973999999999,2018-06-05,2019-01-04
63,63,Recycle Fire,265.0,32.63046,-116.46673999999999,2018-06-06,2019-01-04
64,64,Liberty Fire,62.0,38.24033,-121.09199,2018-06-11,2019-01-04
65,65,Bear Fire,200.0,37.339240000000004,-120.24315,2018-06-07,2019-01-04
66,66,Apple Fire,2956.0,39.94355,-122.3571,2018-06-09,2019-01-04
67,67,Chrome Fire,2290.0,39.64978,-122.58218000000001,2018-06-09,2019-01-04
68,68,Mission Fire,12.0,37.97638,-122.5275,2018-06-09,2019-01-04
69,69,South Fire,175.0,37.97638,-122.5275,2018-06-09,2019-01-04
70,70,Sam Fire,96.0,35.9352,-121.11936000000001,2018-06-09,2019-01-04
71,71,Beaver Fire,215.0,36.37532,-120.862579,2018-06-12,2019-01-04
72,72,Vista Fire,60.0,35.663607,-120.67031100000001,2018-06-13,2019-01-04
73,73,Santiago Fire,155.0,33.787838,-117.746625,2018-06-11,2019-01-04
74,74,Euclid Fire,154.0,33.925862,-117.654299,2018-06-12,2019-01-04
75,75,Portola Fire ,20.0,34.110516,-118.42788600000002,2018-06-12,2019-01-04
76,76,Spring Fire,70.0,40.394073,-122.135924,2018-06-13,2019-01-04
77,77,Bridle Fire,20.0,33.524412,-116.821724,2018-06-14,2019-01-04
78,78,70 Fire,20.0,39.602703000000005,-121.617698,2018-06-14,2019-01-04
79,79,Creston FIre,60.0,35.58354,-120.62413500000001,2018-06-14,2019-01-04
80,80,Tumbleweed Fire,646.0,40.3768,-120.36403,2018-06-14,2019-01-04
81,81,Planada Fire,4564.0,37.393390000000004,-120.34206999999999,2018-06-15,2019-01-04
82,82,Raymond Fire,60.0,37.14663,-119.91223000000001,2018-06-15,2019-01-04
83,83,Boyer Fire,53.0,37.47677,-119.84298999999999,2018-06-15,2019-01-04
84,84,Oregon Fire,40.0,39.549167,-121.521111,2018-06-16,2019-01-04
85,85,Creek Fire,32.0,38.886518,-122.476381,2018-06-16,2019-01-04
86,86,Willow Fire,25.0,38.015322999999995,-121.998967,2018-06-16,2019-01-04
87,87,China Fire,17.0,38.265645,-120.892404,2018-06-17,2019-01-04
88,88,Upper Colony Fire,1202.0,38.834395,-119.41674599999999,2018-06-17,2019-01-04
89,89,Vallecitos Fire,20.0,37.627119,-121.806775,2018-06-17,2019-01-04
90,90,Dinosaur Fire,185.0,37.05876,-121.176354,2018-06-17,2019-01-04
91,91,Wheeler Fire,115.0,37.707234,-120.19916200000002,2018-06-18,2019-01-04
92,92,Iron Fire,40.0,37.779209,-121.908976,2018-06-19,2019-01-04
93,93,Ranchita Fire,10.0,35.77017,-120.57833000000001,2018-06-19,2019-01-04
94,94,Yankee Fire,1500.0,35.736290000000004,-120.75593,2018-06-20,2019-01-04
95,95,Creek Fire,10.0,35.05747,-120.39295,2018-06-21,2019-01-04
96,96,Bascom Fire,328.0,40.529090000000004,-122.17456999999999,2018-06-23,2019-01-04
97,97,Lane Fire,3716.0,40.35068,-121.77866999999999,2018-06-23,2019-01-04
98,98,Sierra Fire,170.0,40.12791,-122.19792,2018-06-23,2019-01-04
99,99,Stoll Fire,268.0,40.18395,-122.27573999999998,2018-06-23,2019-01-04
100,100,Pawnee Fire,15185.0,39.0674,-122.59848000000001,2018-06-23,2019-01-04
101,101,Canyon Fire,62.0,34.53765,-118.75495,2018-06-23,2019-01-04
102,102,Stony Fire,75.0,39.2976,-122.51201200000001,2018-07-04,2019-01-04
103,103,Sheep Fire,95.0,35.1234,-118.72905,2018-06-29,2019-01-04
104,104,Creek Fire,1678.0,40.50318,-122.42308,2018-06-24,2019-01-04
105,105,Flat Fire,163.0,37.80785,-120.30187,2018-06-24,2019-01-04
106,106,Horse Fire,80.0,37.95766,-120.68902,2018-06-24,2019-01-04
107,107,Romero Fire,68.0,37.08529,-121.09353999999999,2018-06-24,2019-01-04
108,108,Peach Fire ,90.0,39.038859,-123.38493000000001,2018-07-05,2019-01-04
109,109,Waverly Fire,12300.0,38.052054999999996,-120.94548200000001,2018-06-29,2019-01-04
110,110,Llano Fire,10.0,39.6139,-121.954098,2018-06-29,2019-01-04
111,111,Flat Fire,300.0,40.60402,-122.9144,2018-06-28,2019-01-04
112,112,San Ardo,375.0,35.95515,-120.86256000000002,2018-06-26,2019-06-21
113,113,Lions Fire,4064.0,37.571,-119.118,2018-06-11,2019-01-04
114,114,Anchor Fire,76.0,36.696878999999996,-119.30449899999999,2018-06-27,2019-01-04
115,115,Shippee Fire,347.0,39.59872,-121.78208000000001,2018-06-26,2019-01-04
116,116,Fox Fire,260.0,35.33916,-120.71488000000001,2018-06-26,2019-01-04
117,117,Hyatt Fire,441.0,40.316137,-120.45053,2018-06-27,2019-01-04
118,118,Cherry Fire,63.0,41.83359,-122.99271999999999,2018-06-27,2019-01-04
119,119,Par Fire,191.0,39.491737,-121.637759,2018-07-04,2019-01-04
120,120,Grant Fire,30.0,38.595865,-121.17693,2018-06-29,2019-01-04
121,121,Valley Fire,268.0,37.947140000000005,-121.9921,2018-06-29,2019-01-04
122,122,Tesla Fire,70.0,37.660740000000004,-121.67143999999999,2018-06-29,2019-01-04
123,123,Creek Fire,33.0,34.17711,-117.15381000000001,2018-06-30,2019-01-04
124,124,County Fire,90288.0,38.80583,-122.18183,2018-06-30,2019-01-04
125,125,Benton Fire,63.0,33.56349,-116.732032,2018-07-04,2019-01-04
126,126,Lariat Fire,33.0,40.00293,-122.44008000000001,2018-07-14,2019-01-04
127,127,School Fire,12.0,37.227909999999994,-119.50461000000001,2018-07-10,2019-01-04
128,128,Petersburg Fire,215.0,41.085,-123.051,2018-07-01,2019-01-04
129,129,West Fire,504.0,32.833674,-116.7311,2018-07-06,2019-01-04
130,130,Buckingham Fire,45.0,37.86339,-122.12351000000001,2018-07-02,2019-01-04
131,131,Building Fire,10.0,32.619855,-116.764733,2018-07-06,2019-01-04
132,132,Shingle Fire,316.0,38.539806,-121.059979,2018-07-04,2019-01-04
133,133,Klamathon Fire,38008.0,41.893332,-122.534655,2018-07-05,2019-01-04
134,134,Irish Fire,825.0,38.42623,-120.95408,2018-07-06,2019-01-04
135,135,Valley Fire,1350.0,34.095568,-116.95880600000001,2018-07-06,2019-01-04
136,136,Eagle Fire,2100.0,41.29363,-120.11461000000001,2018-07-13,2019-01-04
137,137,Holiday Fire,113.0,34.463889,-119.83138899999999,2018-07-06,2019-01-04
138,138,Bridle Fire,116.0,37.06367,-121.53586000000001,2018-07-06,2019-01-04
139,139,Stoney Fire,962.0,39.77124,-121.76858999999999,2018-07-12,2019-01-04
140,140,Gray Fire,12.0,34.171786,-117.35606000000001,2018-07-13,2019-01-04
141,141,Ferguson Fire,96901.0,37.6549,-119.88581,2018-07-13,2019-01-04
142,142,Lebec Fire,62.0,34.86022,-118.87881000000002,2018-07-08,2019-01-04
143,143,Dark Fire,11.0,39.66492,-121.51772,2018-07-10,2019-01-04
144,144,Curie Fire,70.0,37.22545,-121.79189,2018-07-10,2019-01-04
145,145,Hale Fire,51.0,37.163594,-121.702547,2018-07-10,2019-01-04
