,Latitude,Longitude,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
0,35.92436,-119.94083,0.1,48,64,15,21,6,2018-04-12
1,35.96689,-121.28185,0.0,58,68,5,9,0,2018-02-07
2,37.40208,-118.50235,0.1,35,47,11,16,1,2018-02-18
3,37.73835,-121.6039,0.0,67,74,5,7,8,2018-05-14
4,33.62924,-117.05991999999999,0.0,65,67,5,7,1,2018-05-17
5,33.711263,-116.16405800000001,0.0,16,78,8,12,40,2018-04-15
6,34.0232,-119.76576000000001,0.0,68,61,10,17,0,2018-03-27
7,40.4635,-121.77418999999999,0.0,71,54,6,9,7,2018-03-27
8,33.86439,-117.48143999999999,0.0,23,91,4,5,4,2018-04-09
9,33.12213,-116.58758999999999,0.0,30,87,10,17,4,2018-05-10
10,41.65935,-122.48556,0.0,61,69,4,5,17,2018-05-09
11,33.887440000000005,-117.16232,0.0,37,82,5,7,12,2018-04-22
12,39.89075,-120.18498999999998,0.3,51,72,4,7,17,2018-04-26
13,34.74245,-120.18236,0.0,67,68,9,14,1,2018-05-17
14,33.40178,-117.27467,0.0,63,79,4,5,3,2018-05-09
15,33.389425,-117.50240500000001,0.0,61,78,6,10,0,2018-05-04
16,36.85156,-120.77206000000001,0.4,55,74,5,7,7,2018-05-02
17,33.504964,-117.148204,0.0,42,85,4,6,0,2018-05-04
18,33.467999,-117.00382900000001,0.0,42,85,4,6,0,2018-05-04
19,36.71537,-118.08448999999999,0.0,32,50,9,11,20,2018-04-19
20,40.70258,-123.55011999999999,0.0,47,72,3,5,30,2018-04-24
21,33.67815,-117.32281,0.0,67,69,5,6,1,2018-04-28
22,35.826333,-118.9821,0.0,52,78,4,6,7,2018-05-18
23,40.31759,-122.21032,0.0,52,82,2,3,8,2018-05-18
24,41.791859,-122.513883,1.7,65,72,3,5,18,2018-05-19
25,37.056944,-121.01638,0.0,60,74,10,14,41,2018-05-20
26,38.16303,-122.23058999999999,0.0,74,71,6,7,11,2018-05-21
27,33.35505,-117.03133999999999,0.0,78,67,5,6,35,2018-05-22
28,37.0979,-119.75307,0.0,59,74,4,5,6,2018-05-23
29,35.56922,-120.12441000000001,0.1,81,60,6,8,47,2018-05-24
30,36.75581,-119.42172,0.0,64,72,6,9,22,2018-05-26
31,37.21803,-121.76828,0.0,61,77,4,5,3,2018-05-27
32,33.53924,-116.10231,0.0,34,90,5,8,5,2018-05-28
33,39.65578,-122.58666000000001,0.0,31,91,8,12,0,2018-05-28
34,37.32744,-121.10903,0.0,42,94,4,7,1,2018-05-29
35,35.71859,-120.64028,0.0,62,84,5,7,3,2018-05-29
36,37.75375,-121.57918000000001,0.0,47,76,9,13,22,2018-05-30
37,38.64953,-122.01762,0.0,48,83,4,5,0,2018-06-01
38,39.46543,-122.65581999999999,0.0,42,83,5,7,1,2018-06-01
39,40.201826000000004,-122.29388,0.0,43,83,4,6,2,2018-06-01
40,37.99113,-121.86473000000001,0.0,37,95,4,5,1,2018-06-02
41,33.551320000000004,-117.72044,0.0,69,71,4,5,0,2018-06-02
42,33.450140000000005,-117.22215,0.0,62,80,4,5,1,2018-06-02
43,36.10499,-120.55323999999999,0.0,33,92,4,7,0,2018-06-02
44,39.80827,-122.3307,0.0,28,97,5,8,5,2018-06-03
45,33.47413,-117.31468000000001,0.0,60,87,5,6,0,2018-06-03
46,33.742,-117.28188999999999,0.0,53,87,4,5,0,2018-06-03
47,36.83036,-121.36446000000001,0.0,45,93,3,5,0,2018-06-03
48,35.75737,-120.91793,0.0,53,85,4,5,0,2018-06-03
49,41.58233,-122.33769,0.0,45,83,5,7,5,2018-06-03
50,32.78031,-117.06782,0.0,68,77,5,5,0,2018-06-03
51,32.75072,-116.92403999999999,0.0,62,80,4,5,0,2018-06-03
52,34.5486,-118.31138,0.0,40,89,7,11,16,2018-06-04
53,41.64805,-122.98442,0.0,58,71,5,7,5,2018-06-04
54,36.40755,-120.99322,0.0,37,85,7,11,0,2018-06-04
55,36.378333000000005,-120.90116699999999,0.0,37,85,7,11,0,2018-06-04
56,37.10181,-119.623981,0.0,31,89,4,7,0,2018-06-04
57,36.64832,-121.03253000000001,0.0,46,80,7,10,0,2018-06-04
58,38.245151,-122.44408,0.0,68,75,5,7,1,2018-06-05
59,33.40769,-117.22973999999999,0.0,72,74,5,7,10,2018-06-05
60,32.63046,-116.46673999999999,0.0,47,80,6,9,3,2018-06-06
61,38.24033,-121.09199,0.0,42,86,5,7,0,2018-06-11
62,37.339240000000004,-120.24315,0.0,52,82,8,13,5,2018-06-07
63,39.94355,-122.3571,1.4,45,73,6,8,13,2018-06-09
64,39.64978,-122.58218000000001,0.0,41,75,6,9,14,2018-06-09
65,37.97638,-122.5275,0.0,73,63,11,17,40,2018-06-09
66,37.97638,-122.5275,0.0,73,63,11,17,40,2018-06-09
67,35.9352,-121.11936000000001,0.0,49,75,9,14,15,2018-06-09
68,36.37532,-120.862579,0.0,37,91,5,7,0,2018-06-12
69,35.663607,-120.67031100000001,0.0,44,87,5,7,0,2018-06-13
70,33.787838,-117.746625,0.0,57,80,5,6,0,2018-06-11
71,33.925862,-117.654299,0.0,42,91,5,6,0,2018-06-12
72,34.110516,-118.42788600000002,0.0,60,81,5,6,0,2018-06-12
73,40.394073,-122.135924,0.0,33,94,3,5,1,2018-06-13
74,33.524412,-116.821724,0.0,35,87,6,8,6,2018-06-14
75,39.602703000000005,-121.617698,0.0,33,91,4,7,3,2018-06-14
76,35.58354,-120.62413500000001,0.0,52,81,5,7,0,2018-06-14
77,40.3768,-120.36403,0.0,43,79,6,9,4,2018-06-14
78,37.393390000000004,-120.34206999999999,0.0,38,91,5,8,0,2018-06-15
79,37.14663,-119.91223000000001,0.0,35,92,6,10,1,2018-06-15
80,37.47677,-119.84298999999999,0.0,30,80,4,7,1,2018-06-15
81,39.549167,-121.521111,0.1,51,82,5,8,2,2018-06-16
82,38.886518,-122.476381,0.0,60,82,5,7,4,2018-06-16
83,38.015322999999995,-121.998967,0.0,67,74,10,12,4,2018-06-16
84,38.265645,-120.892404,0.0,58,74,3,4,6,2018-06-17
85,38.834395,-119.41674599999999,0.1,42,64,11,13,16,2018-06-17
